epoch,loss_total,loss_style_swd,loss_content_ssm,learning_rate,epoch_time
34,8.767696,0.062187,0.309188,4.84e-04,0.00
35,9.271502,0.065397,0.314277,4.83e-04,0.00
36,9.057852,0.063525,0.313688,4.82e-04,0.00
37,8.271973,0.057934,0.313041,4.82e-04,0.00
38,8.953554,0.063476,0.313735,4.81e-04,0.00
39,7.868283,0.055831,0.312299,4.79e-04,0.00
40,9.548339,0.067516,0.318321,4.78e-04,0.00
41,8.077684,0.057181,0.314157,4.77e-04,0.00
42,8.888244,0.062937,0.312704,4.76e-04,0.00
43,8.527505,0.060222,0.311072,4.75e-04,0.00
44,8.216037,0.057735,0.311860,4.74e-04,0.00
45,8.810513,0.062387,0.305447,4.73e-04,0.00
46,7.975616,0.056643,0.309523,4.72e-04,0.00
47,8.410668,0.059590,0.315581,4.70e-04,0.00
48,8.102001,0.057036,0.310875,4.69e-04,0.00
49,8.980438,0.063846,0.314633,4.68e-04,0.00
50,8.520356,0.060921,0.310763,4.67e-04,0.00
