epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,learning_rate,epoch_time
126,7.002691,3.736134,3.548854,3.047758,3.047758,7.53e-05,0.00
127,7.012110,3.734472,3.547256,3.059779,3.059779,7.52e-05,0.00
128,7.017092,3.732978,3.545842,3.066219,3.066219,7.51e-05,0.00
129,7.039024,3.730490,3.543358,3.089235,3.089235,7.49e-05,0.00
130,7.057515,3.732150,3.544998,3.106844,3.106844,7.48e-05,0.00
131,7.069210,3.729882,3.542863,3.120351,3.120351,7.47e-05,0.00
132,7.047504,3.728658,3.541771,3.097948,3.097948,7.45e-05,0.00
133,7.050852,3.728600,3.541558,3.101494,3.101494,7.44e-05,0.00
134,7.066444,3.729848,3.542916,3.117121,3.117121,7.42e-05,0.00
135,7.088330,3.727939,3.541042,3.140103,3.140103,7.41e-05,0.00
136,7.090228,3.728441,3.541525,3.139986,3.139986,7.40e-05,0.00
137,7.105065,3.726799,3.539925,3.156729,3.156729,7.38e-05,0.00
138,7.084555,3.727845,3.540922,3.135686,3.135686,7.37e-05,0.00
139,7.127341,3.729325,3.542246,3.176336,3.176336,7.35e-05,0.00
140,7.122239,3.732505,3.545312,3.166751,3.166751,7.34e-05,0.00
141,7.115366,3.728384,3.541545,3.165965,3.165965,7.32e-05,0.00
