epoch,loss_total,loss_style_swd,loss_content_ssm,learning_rate,epoch_time
1,0.280211,0.009970,0.270241,1.00e-04,0.00
2,0.244787,0.007327,0.237461,9.99e-05,0.00
3,0.231306,0.006681,0.224626,9.98e-05,0.00
4,0.223025,0.006080,0.216945,9.96e-05,0.00
5,0.221030,0.006931,0.214098,9.94e-05,0.00
6,0.215612,0.005977,0.209635,9.91e-05,0.00
7,0.210594,0.005659,0.204934,9.88e-05,0.00
8,0.213923,0.005953,0.207970,9.84e-05,0.00
9,0.208522,0.005119,0.203402,9.80e-05,0.00
10,0.209176,0.005249,0.203926,9.76e-05,0.00
