epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
1,2.574068,0.077439,1.590268,5.00e-04,0.00
2,2.474697,0.072314,1.552434,5.00e-04,0.00
3,2.449910,0.071512,1.531697,5.00e-04,0.00
4,2.410046,0.068889,1.525986,5.00e-04,0.00
5,2.402429,0.068405,1.522375,5.00e-04,0.00
6,2.414119,0.069641,1.522234,5.00e-04,0.00
7,2.383640,0.067944,1.512858,5.00e-04,0.00
8,2.307334,0.062842,1.495260,5.00e-04,0.00
9,2.159609,0.055830,1.427319,5.00e-04,0.00
10,2.086113,0.053957,1.369541,5.00e-04,0.00
11,2.010678,0.049673,1.344124,5.00e-04,0.00
12,1.971655,0.048768,1.316450,5.00e-04,0.00
13,1.897742,0.046122,1.272877,4.99e-04,0.00
14,1.857953,0.045347,1.238493,4.99e-04,0.00
15,1.822983,0.044644,1.214570,4.99e-04,0.00
16,1.785617,0.044657,1.180263,4.99e-04,0.00
17,1.769664,0.045166,1.155065,4.99e-04,0.00
18,1.748089,0.045151,1.133749,4.99e-04,0.00
19,1.686998,0.042824,1.103432,4.99e-04,0.00
20,1.712775,0.045264,1.097659,4.99e-04,0.00
