epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
1,16.409601,0.092943,0.165857,1.00e-04,0.00
2,12.799622,0.071715,0.182181,1.00e-04,0.00
3,11.828087,0.066238,0.194784,1.00e-04,0.00
4,12.212488,0.068260,0.205587,1.00e-04,0.00
5,11.885422,0.066516,0.201721,1.00e-04,0.00
6,11.560956,0.064632,0.204298,1.00e-04,0.00
7,11.506444,0.064412,0.205578,1.00e-04,0.00
8,11.895059,0.066381,0.202755,1.00e-04,0.00
9,11.347947,0.063436,0.202635,9.99e-05,0.00
10,11.717441,0.065361,0.208332,9.99e-05,0.00
11,11.327416,0.063182,0.203819,9.99e-05,0.00
12,11.322515,0.063308,0.211731,9.99e-05,0.00
13,10.722251,0.059834,0.201265,9.99e-05,0.00
14,10.294138,0.057302,0.206253,9.99e-05,0.00
15,10.009306,0.055999,0.199453,9.98e-05,0.00
